table,device,orientation,R1,R2,inclination_deg,effective_SC,source_pdf_page
C12,horizontal_projection,North & South,0.1,,0,0.9380,42
C12,horizontal_projection,North & South,0.1,,10,0.9330,42
C12,horizontal_projection,North & South,0.1,,20,0.9300,42
C12,horizontal_projection,North & South,0.1,,30,0.9291,42
C12,horizontal_projection,North & South,0.1,,40,0.9303,42
C12,horizontal_projection,North & South,0.1,,50,0.9336,42
C12,horizontal_projection,North & South,0.2,,0,0.8773,42
C12,horizontal_projection,North & South,0.2,,10,0.8674,42
C12,horizontal_projection,North & South,0.2,,20,0.8613,42
C12,horizontal_projection,North & South,0.2,,30,0.8595,42
C12,horizontal_projection,North & South,0.2,,40,0.8619,42
C12,horizontal_projection,North & South,0.2,,50,0.8685,42
C12,horizontal_projection,North & South,0.3,,0,0.8167,42
C12,horizontal_projection,North & South,0.3,,10,0.8017,42
C12,horizontal_projection,North & South,0.3,,20,0.7927,42
C12,horizontal_projection,North & South,0.3,,30,0.7899,42
C12,horizontal_projection,North & South,0.3,,40,0.7935,42
C12,horizontal_projection,North & South,0.3,,50,0.8033,42
C12,horizontal_projection,North & South,0.4,,0,0.7560,42
C12,horizontal_projection,North & South,0.4,,10,0.7392,42
C12,horizontal_projection,North & South,0.4,,20,0.7288,42
C12,horizontal_projection,North & South,0.4,,30,0.7245,42
C12,horizontal_projection,North & South,0.4,,40,0.7263,42
C12,horizontal_projection,North & South,0.4,,50,0.7382,42
C12,horizontal_projection,North & South,0.5,,0,0.7210,42
C12,horizontal_projection,North & South,0.5,,10,0.7080,42
C12,horizontal_projection,North & South,0.5,,20,0.7001,42
C12,horizontal_projection,North & South,0.5,,30,0.6950,42
C12,horizontal_projection,North & South,0.5,,40,0.6927,42
C12,horizontal_projection,North & South,0.5,,50,0.6938,42
C12,horizontal_projection,North & South,0.6,,0,0.7041,42
C12,horizontal_projection,North & South,0.6,,10,0.6921,42
C12,horizontal_projection,North & South,0.6,,20,0.6848,42
C12,horizontal_projection,North & South,0.6,,30,0.6804,42
C12,horizontal_projection,North & South,0.6,,40,0.6774,42
C12,horizontal_projection,North & South,0.6,,50,0.6760,42
C12,horizontal_projection,North & South,0.7,,0,0.6923,42
C12,horizontal_projection,North & South,0.7,,10,0.6842,42
C12,horizontal_projection,North & South,0.7,,20,0.6775,42
C12,horizontal_projection,North & South,0.7,,30,0.6723,42
C12,horizontal_projection,North & South,0.7,,40,0.6689,42
C12,horizontal_projection,North & South,0.7,,50,0.6672,42
C12,horizontal_projection,North & South,0.8,,0,0.6871,42
C12,horizontal_projection,North & South,0.8,,10,0.6779,42
C12,horizontal_projection,North & South,0.8,,20,0.6702,42
C12,horizontal_projection,North & South,0.8,,30,0.6661,42
C12,horizontal_projection,North & South,0.8,,40,0.6641,42
C12,horizontal_projection,North & South,0.8,,50,0.6626,42
C12,horizontal_projection,North & South,0.9,,0,0.6819,42
C12,horizontal_projection,North & South,0.9,,10,0.6718,42
C12,horizontal_projection,North & South,0.9,,20,0.6670,42
C12,horizontal_projection,North & South,0.9,,30,0.6643,42
C12,horizontal_projection,North & South,0.9,,40,0.6621,42
C12,horizontal_projection,North & South,0.9,,50,0.6604,42
C12,horizontal_projection,North & South,1.0,,0,0.6767,42
C12,horizontal_projection,North & South,1.0,,10,0.6690,42
C12,horizontal_projection,North & South,1.0,,20,0.6655,42
C12,horizontal_projection,North & South,1.0,,30,0.6625,42
C12,horizontal_projection,North & South,1.0,,40,0.6600,42
C12,horizontal_projection,North & South,1.0,,50,0.6583,42
C12,horizontal_projection,North & South,1.1,,0,0.6731,42
C12,horizontal_projection,North & South,1.1,,10,0.6678,42
C12,horizontal_projection,North & South,1.1,,20,0.6640,42
C12,horizontal_projection,North & South,1.1,,30,0.6607,42
C12,horizontal_projection,North & South,1.1,,40,0.6584,42
C12,horizontal_projection,North & South,1.1,,50,0.6577,42
C12,horizontal_projection,North & South,1.2,,0,0.6713,42
C12,horizontal_projection,North & South,1.2,,10,0.6667,42
C12,horizontal_projection,North & South,1.2,,20,0.6625,42
C12,horizontal_projection,North & South,1.2,,30,0.6589,42
C12,horizontal_projection,North & South,1.2,,40,0.6577,42
C12,horizontal_projection,North & South,1.2,,50,0.6577,42
C12,horizontal_projection,North & South,1.3,,0,0.6705,42
C12,horizontal_projection,North & South,1.3,,10,0.6656,42
C12,horizontal_projection,North & South,1.3,,20,0.6611,42
C12,horizontal_projection,North & South,1.3,,30,0.6582,42
C12,horizontal_projection,North & South,1.3,,40,0.6577,42
C12,horizontal_projection,North & South,1.3,,50,0.6577,42
C12,horizontal_projection,North & South,1.4,,0,0.6698,42
C12,horizontal_projection,North & South,1.4,,10,0.6644,42
C12,horizontal_projection,North & South,1.4,,20,0.6596,42
C12,horizontal_projection,North & South,1.4,,30,0.6577,42
C12,horizontal_projection,North & South,1.4,,40,0.6577,42
C12,horizontal_projection,North & South,1.4,,50,0.6577,42
C12,horizontal_projection,North & South,1.5,,0,0.6690,42
C12,horizontal_projection,North & South,1.5,,10,0.6633,42
C12,horizontal_projection,North & South,1.5,,20,0.6588,42
C12,horizontal_projection,North & South,1.5,,30,0.6577,42
C12,horizontal_projection,North & South,1.5,,40,0.6577,42
C12,horizontal_projection,North & South,1.5,,50,0.6577,42
C12,horizontal_projection,North & South,1.6,,0,0.6683,42
C12,horizontal_projection,North & South,1.6,,10,0.6622,42
C12,horizontal_projection,North & South,1.6,,20,0.6582,42
C12,horizontal_projection,North & South,1.6,,30,0.6577,42
C12,horizontal_projection,North & South,1.6,,40,0.6577,42
C12,horizontal_projection,North & South,1.6,,50,0.6577,42
C12,horizontal_projection,North & South,1.7,,0,0.6675,42
C12,horizontal_projection,North & South,1.7,,10,0.6610,42
C12,horizontal_projection,North & South,1.7,,20,0.6577,42
C12,horizontal_projection,North & South,1.7,,30,0.6577,42
C12,horizontal_projection,North & South,1.7,,40,0.6577,42
C12,horizontal_projection,North & South,1.7,,50,0.6577,42
C12,horizontal_projection,North & South,1.8,,0,0.6667,42
C12,horizontal_projection,North & South,1.8,,10,0.6599,42
C12,horizontal_projection,North & South,1.8,,20,0.6577,42
C12,horizontal_projection,North & South,1.8,,30,0.6577,42
C12,horizontal_projection,North & South,1.8,,40,0.6577,42
C12,horizontal_projection,North & South,1.8,,50,0.6577,42
C12,horizontal_projection,North & South,1.9,,0,0.6660,42
C12,horizontal_projection,North & South,1.9,,10,0.6594,42
C12,horizontal_projection,North & South,1.9,,20,0.6577,42
C12,horizontal_projection,North & South,1.9,,30,0.6577,42
C12,horizontal_projection,North & South,1.9,,40,0.6577,42
